country;population;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling
Dominica;65871;750;88;73.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominican Republic;11520487;48320;238;73.3;74.978;57;64.8;8;45;28.91;74.1;79.8;29.1;74.1;54.8;18.9;0;9
Ecuador;18289896;248360;74;70.7;78.098;60.7;48;17;67;41.33;79.1;67.2;33.3;79.1;42.7;11.8;2.5;9
Egypt;118365995;995450;119;70.4;72.848;37.4;71.5;63;97;249.63;80.1;60.1;29;80.1;23.2;15;2;10
El Salvador;6365503;20720;307;65.2;74.464;53.3;63.6;22;98;7.22;74.9;69.1;36.2;74.9;40.4;9.8;5.8;7
Equatorial Guinea;1938431;28050;69;0;60.404;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea;3607003;101000;36;0;68.068;0;0;0;0;0;0;0;0;0;0;0;0;0
Estonia;1344232;42390;32;90;79.48;59.4;82.6;6;100;10.44;0;92.5;22.8;92.8;88.8;31.7;11.2;14
Eswatini;1256174;17200;73;35.3;61.67;36.8;0;15;71;1.1;61.2;61.1;39.1;61.2;28;10.8;0;6
Ethiopia;135472051;1000000;135;36;68.434;75.6;48.7;22;13;17.81;60.7;56.1;32.3;60.7;31.5;1.9;0.4;3
Fiji;933154;18270;51;0;68.198;0;0;0;0;0;0;0;0;0;0;0;0;0
Finland;5623329;303890;19;93.1;82.776;55.6;90.2;6;100;37.59;95.1;97.5;13.6;95.1;97.5;40.4;26;13
France;66650804;547557;122;90.1;83.386;51.1;79.9;11;100;305.98;92.8;93.1;15.8;92.8;81.6;41.2;44.2;12
Gabon;2593130;257670;10;65.7;67.37;37.5;53.7;26;85;5.72;46.8;40.1;47.2;46.8;29.9;24.2;1.5;9
Gambia;2822093;10120;279;45.7;63.832;51;64.1;39;48;0.66;67.9;66.1;43.8;67.9;47.4;2.3;0.2;5
