;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
10;Azerbaijan;10397713;82658;126;73.9;73.546;59.6;88.9;25;72;38.51;66.8;55;47.8;66.8;16.7;19.3;2.7;11;734;AZE;2022;10295307;1.75371E+11;1.081;0.105;40.391;2.099;5.48;44.816;2.432;5.738;4.353;0.256;0.213;3.923;0.23;0.192;0;0;32.912;2552.849;3153.812;24.264;15.293;1090.064;625.913;1390.315;20301.668;1.199;0.371;0.036;26.791;2.602;5.897;6.971;4.424;0.43;23.905;2.322;4.409;0.428;12.148;1.18;210.286;0.068;0.108;0.11;0;0.07;0.144;0.122;0.003;0.079;0.416;0.077;0.226;0.092;0.339;0.125;0.102;0.133;0.001;0.001;0.002;0;71.771;60.711
11;Bahamas;403033;10010;40;81.9;74.508;59.4;30.7;0;0;0;49.8;71.8;26.6;49.8;71.9;30.3;9.2;13;788;BHS;2022;397544;5.28502E+11;0;0;2.402;-0.075;-3.036;2.377;-0.074;-3.007;5.979;0.937101354;1.084519033;6.041;0.389399806;0.230389568;0.004;0.01;4.262;173.621;175.672;0.271;0;4545.108843;6.928;169.088;24751.67803;1.767313535;0;0;177.0031629;1.832210367;7.093;7.121;-0.025;-0.062;0.391;0.983;0.055;0.138;2.398;6.032;2662.128098;0;0.006;0.006;0;0.009;0.01;0.007;0;0;3.731023326;0.001;0.027;0;3.860033117;-0.001;0.02;0.006;0;0;0;0;2.831;2.82
12;Bahrain;1643332;760;2162;84.8;77.982;69;25.1;52;99;39.02;51.6;66.2;16.1;51.6;31.9;47;14.2;11;842;BHR;2022;1533459;58769760256;0.213;0.139;35.652;-0.544;-1.502;35.652;-0.544;-1.502;23.249;0.607;1.084519033;23.249;0.607;0.230389568;305.6257623;1.48792303;5.173;1031.396;1031.405;17052.4864;2.194;801.029;0.009;222.846;24751.67803;1.767313535;0.177;0.115;32.112;20.941;42.671;42.699;0;0;29.561;19.277;0.264;0.172;3.151;2.055;2662.128098;0.013;0.096;0.087;3.077753354;0.011;0.058;0.04;3.313702;0.011;0.306;0;0.036;0.044;0.407;0;0.026;0.095;0.001;0;0.002;0;65.476;65.434
13;Bangladesh;175686899;130170;1350;62;74.074;54;55.8;46;59;93.18;70.8;59.1;27.2;70.8;25.1;6.7;1.1;7;896;BGD;2022;169384890;8.58144E+11;1.514;0.009;113.863;6.242;5.8;132.086;6.357;5.056;0.78;0.154;0.255;0.672;0.133;0.22;16.915;0.1;25.276;1808.663;3373.531;140.514;0.321;1081.842;3459.609;560.71;3025.794;0.604;0.039;0;57.303;0.338;0.967;1.549;18.223;0.108;111.407;0.658;30.041;0.177;38.093;0.225;517.975;0.095;0.305;0.323;0.111;0.054;0.102;0.13;0.017;0.002;0.413;0.424;0.091;0.01;0.726;0.515;0.32;0.41;0.004;0.002;0.007;0.001;262.313;163.772
14;Barbados;282623;430;657;0;79.92;0;0;0;0;0;0;0;0;0;0;0;0;0;950;BRB;2022;282324;3408005888;0.106;0.375;1.143;-0.032;-2.758;1.103;-0.023;-2.054;3.906;0.324;1.084519033;4.05;0.335;0.230389568;305.6257623;1.48792303;3.954;61.055;61.432;17052.4864;0.231;1.771;3.781;55.045;24751.67803;1.767313535;0.011;0.039;0.025;0.087;4.766;4.85;-0.041;-0.144;0.214;0.758;0.047;0.166;1.002;3.548;2662.128098;0.007;0.003;0.003;3.077753354;0.008;0.003;0.002;3.313702;0.001;0.001;0;0.009;0.003;0;-0.001;0.008;0.002;0;0;0;0;1.369;1.346
15;Belarus;8997603;202910;44;81.3;75.48;60.7;97.2;16;93;59.61;78.7;71.2;34.6;78.7;15.4;24;4.8;12;1004;BLR;2022;9173241;1.75774E+11;2.239;0.244;59.384;-1.554;-2.55;57.4;-1.913;-3.225;6.257;0.327;0.195;6.474;0.338;0.202;4.246;0.463;85.332;5069.789;10030.665;549.799;10.15;1376.206;5198.976;2993.586;30868.787;1.674;0.006;0.001;35.594;3.88;8.967;11.957;-1.984;-0.216;17.243;1.88;28.813;3.141;16.348;1.782;294.333;0.14;0.159;0.141;0.028;0.182;0.286;0.388;0.067;0.052;0.525;0.637;0.486;0.002;0.451;-0.056;0.137;0.347;0.001;0.004;0.006;0.001;109.688;82.254
16;Belgium;11758603;30280;388;91.6;82.478;50.8;92.2;11;100;95.74;90.5;92.3;18.8;90.5;84.6;48;49.8;12;1058;BEL;2022;11641813;4.89678E+11;2.456;0.211;89.002;-5.884;-6.201;91.657;-5.891;-6.039;7.873;0.187;0.132;7.645;0.182;0.128;11.941;1.026;225.718;12734.576;12971.227;7546.867;3.438;1401.726;377.812;3479.529;59582.27;1.418;0.111;0.01;31.087;2.67;8.678;9.632;2.655;0.228;12.721;1.093;8.625;0.741;41.814;3.592;694.486;0.153;0.239;0.224;0.079;0.482;0.718;0.502;0.92;0.018;0.535;0.046;0.565;0.028;0.394;0.075;0.351;0.411;0.001;0.006;0.007;0;112.138;101.025
17;Belize;422924;22810;19;0;75.386;0;0;0;0;0;0;0;0;0;0;0;0;0;1112;BLZ;2022;402741;5.28502E+11;0;0;0.632;0.019;3.167;7.152;0.727;11.309;17.758;0.937101354;1.084519033;1.57;0.389399806;0.230389568;305.6257623;1.48792303;0;20.362;343.857;17052.4864;0.012;0.051;434.998;20.299;24751.67803;1.767313535;0.006;0.014;0;0;2.515;18.596;6.52;16.188;0.538;1.336;0.212;0.526;0.627;1.556;2662.128098;0;0.002;0.018;3.077753354;0;0.001;0.013;3.313702;0;0;0.053;0.003;0.001;0;0.184;0.005;0.011;0;0;0;0;7.489;1.013
18;Benin;14814460;112760;131;38.7;63.368;69.8;45.4;32;65;7.77;68;69.7;51.1;68;43.4;2.8;0.2;4;1166;BEN;2022;13759507;33290362880;0.363;0.026;5.792;0.033;0.575;9.336;-0.534;-5.406;0.678;0.28;1.084519033;0.421;0.174;0.230389568;0.306;0.022;6.717;116.096;1263.205;2.079;0;1.403;1042.101;105.898;24751.67803;1.767313535;0;0;0.337;0.024;0.812;1.908;3.543;0.258;8.386;0.609;3.061;0.222;4.786;0.348;2662.128098;0.023;0.016;0.023;0.002;0.014;0.007;0.049;0;0;0.001;0.128;0.017;0;0.004;0.1;0.04;0.048;0;0;0.001;0;26.247;11.17
19;Bhutan;796682;38117;21;60.7;73.25;57.5;62;26;73;1.54;63.1;56.1;23.7;63.1;60.3;14.4;0;5;1220;BTN;2022;780920;5.28502E+11;0.438;0.561;1.635;0.039;2.474;7.271;-0.941;-11.457;9.311;0.937101354;1.084519033;2.094;0.389399806;0.230389568;0.777;0.995;6.675;27.239;635.269;11.24;0;4545.108843;1064.667;9.325;24751.67803;1.767313535;0;0;177.0031629;1.832210367;3.316;6.255;5.636;7.217;1.28;1.639;0.207;0.265;0.42;0.538;2662.128098;0.027;0.004;0.018;0.005;0.014;0.002;0.025;0.001;0;3.731023326;0.13;0.002;0;3.860033117;0.159;0.004;0.025;0;0;0;0;4.885;2.589
