;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
30;Cameroon;29879337;472710;63;41.4;60.9;72.5;33.6;56;66;9.31;58.5;65.6;28.9;58.5;23.1;3.7;0.2;6;1760;CMR;2022;27632771;82727796736;1.744;0.063;10.046;0.441;4.587;32.027;-3.163;-8.99;1.159;0.387;1.084519033;0.364;0.121;0.230389568;305.6257623;1.48792303;21.009;290.041;2884.922;17052.4864;55.307;15.231;3696.246;198.231;24751.67803;1.767313535;1.402;0.051;1.317;0.048;1.025;2.336;21.981;0.795;25.607;0.927;6.223;0.225;5.583;0.202;2662.128098;0.109;0.027;0.078;3.077753354;0.045;0.016;0.112;3.313702;0.285;0.006;0.453;0.032;0.348;0.017;0.621;0.047;0.184;0.001;0.002;0.003;0;64.561;28.33
31;Canada;40126723;9093510;4;96.5;83.264;60.3;62;6;99;545.64;93.5;95.9;11.5;93.5;88.4;39.3;52.9;14;1814;CAN;2022;38821260;1.7613E+12;6.752;0.174;550.612;10.3;1.906;657.755;31.717;5.066;16.943;0.373;0.166;14.183;0.313;0.139;38.198;0.984;383.021;34607.02;75044.211;9751.447;638.15;8526.038;40437.562;15217.298;103290.68;2.255;17.495;0.451;239.741;6.176;16.743;20.87;107.143;2.76;115.991;2.988;45.077;1.161;246.265;6.344;3971.974;0.422;1.476;1.611;0.252;0.818;1.95;2.902;1.189;3.292;3.252;4.956;2.47;4.341;3.038;3.026;2.068;2.182;0.006;0.029;0.036;0.002;810.218;650.002
32;Central African Republic;5513282;622980;9;40.9;54.996;66.6;14.2;27;6;0.22;47.3;40.7;47.6;47.3;21.2;0.4;0;4;1922;CAF;2022;5098038;3752056576;0;0;0.271;0.029;11.868;4.398;0.439;11.082;0.863;1.172;1.084519033;0.053;0.072;0.230389568;305.6257623;1.48792303;0;11.834;495.916;17052.4864;0;4545.108843;860.101;11.815;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.788;5.593;4.127;0.81;12.295;2.412;9.876;1.937;0.271;0.053;2662.128098;0;0.001;0.011;3.077753354;0;0.001;0.019;3.313702;0;3.731023326;0.105;0.002;0;3.860033117;0.117;0.002;0.077;0.001;0;0.001;0;28.512;4.015
33;Chad;21003705;1259200;17;20.6;55.71;57.2;45.8;41;6;1.94;56.4;44.3;41.1;56.4;19.8;1;0;3;1976;TCD;2022;18455319;24118011904;0.198;0.011;3.005;0.335;12.53;9.176;-0.309;-3.253;0.497;0.38;1.084519033;0.163;0.125;0.230389568;305.6257623;1.48792303;1.368;45.845;758.338;17052.4864;5.263;4545.108843;1222.598;39.202;24751.67803;1.767313535;0.417;0.023;177.0031629;1.832210367;0.519;6.368;6.171;0.334;67.119;3.637;28.169;1.526;2.39;0.129;2662.128098;0.012;0.008;0.022;3.077753354;0.003;0.003;0.029;3.313702;0.027;3.731023326;0.15;0.006;0.104;3.860033117;0.174;0.02;0.162;0.002;0.001;0.003;0;117.522;9.569
34;Chile;19859921;743532;27;84.5;81.1;49.6;50;21;99;85.44;86.8;88.5;21.2;86.8;72.8;22.3;7.2;11;2030;CHL;2022;19553032;4.48338E+11;0.976;0.05;82.537;-1.118;-1.337;98.897;-4.64;-4.482;5.058;0.221;0.196;4.221;0.184;0.164;19.681;1.007;58.338;3165.379;7634.354;1035.261;82.876;332.827;4469.317;1656.077;25684.15;1.123;0.008;0;12.868;0.658;5.364;5.925;16.36;0.837;25.086;1.283;7.9;0.404;49.004;2.506;503.505;0.061;0.221;0.242;0.13;0.125;0.178;0.295;0.126;0.428;0.127;0.548;0.269;0.002;0.163;0.462;0.411;0.249;0.001;0.003;0.004;0;115.855;104.888
35;China;1416096094;9388211;151;74.5;77.806;64.8;54.6;38;94;11472.39;59.5;70.2;12.3;59.5;23;17.5;10.7;8;2084;CHN;2022;1425179562;2.6966E+13;756.02;0.53;11350.538;-97.375;-0.851;11064.459;-104.776;-0.938;7.764;0.41;0.249;7.964;0.421;0.255;8168.899;5.732;16332.773;260629.031;328266.094;195480.734;158.329;7902.129;72572.984;35683.984;31220.076;1.651;4.678;0.003;760.059;0.533;9.123;9.405;-286.079;-0.201;1864.384;1.308;420.098;0.295;1489.342;1.045;44516.312;47.218;30.435;27.096;53.792;34.901;14.687;12.695;23.837;0.817;3.014;8.895;5.792;1.161;9.63;-8.079;12.505;12.705;0.063;0.137;0.209;0.009;13403.84;13001.626
36;Colombia;53425635;1109500;48;68.3;78.21;55.4;34.9;14;74;91.71;87.3;80.8;29.6;87.3;46.5;14.6;1.9;9;2138;COL;2022;51737944;7.42717E+11;6.217;0.12;98.293;3.969;4.208;103.71;-0.854;-0.816;2.005;0.14;0.17;1.9;0.132;0.161;10.465;0.202;196.154;3631.011;24387.514;776.667;71.042;687.807;20970.551;1899.341;11760.556;0.821;0.458;0.009;21.689;0.419;2.794;4.856;5.417;0.105;96.078;1.857;22.195;0.429;59.464;1.149;610.067;0.388;0.264;0.254;0.069;0.419;0.205;0.943;0.095;0.366;0.262;2.57;0.308;0.114;0.275;0.153;0.499;0.868;0.004;0.01;0.014;0.001;251.261;144.572
37;Comoros;882847;1861;474;44.5;65.402;39.3;37.7;14;0;0.29;46.7;66.3;39.2;46.7;31.1;2.2;0.4;5;2192;COM;2022;834192;1682077056;0;0;0.451;-0.047;-9.51;0.471;-0.044;-8.584;0.564;0.28;1.084519033;0.541;0.268;0.230389568;305.6257623;1.48792303;0;6.35;12.316;17052.4864;0;4545.108843;13.037;6.35;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.011;1.375;0.02;0.024;0.619;0.742;0.07;0.084;0.451;0.541;2662.128098;0;0.001;0.001;3.077753354;0;0;0;3.313702;0;3.731023326;0.002;0.001;0;3.860033117;0.001;0.004;0.002;0;0;0;0;1.147;0.843
38;Congo (Congo-Brazzaville);6484437;341500;19;21.1;62.116;51.1;24.7;30;46;7.47;43.2;41.7;44.7;43.2;25.9;6.7;0.1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Costa Rica;5152950;51060;101;75.8;81.304;48.6;41.3;15;81;7.8;88.5;87;27.2;88.5;72.6;21.1;7.3;9;2354;CRI;2022;5081765;80345899008;0.378;0.074;7.847;0.2;2.617;12.948;-0.217;-1.646;2.548;0.161;1.084519033;1.544;0.098;0.230389568;0.038;0.007;20.988;269.38;2494.746;2.531;0;4545.108843;2284.643;245.861;24751.67803;1.767313535;0;0;177.0031629;1.832210367;2.2;3.821;5.101;1.004;5.509;1.084;1.708;0.336;7.431;1.462;2662.128098;0.024;0.021;0.032;0;0.045;0.015;0.096;0;0;3.731023326;0.28;0.04;0;3.860033117;0.144;0.062;0.074;0;0.001;0.001;0;19.416;11.179
40;Cote d'Ivoire;32711547;318000;103;44.2;59;53.6;41.4;40;44;11.72;68.9;69.9;36.4;68.9;48.4;5.8;0;5;2408;CIV;2022;30395003;1.21472E+11;0;0;13.644;-0.025;-0.184;154.152;10.423;7.252;5.072;1.269;1.084519033;0.449;0.112;0.230389568;305.6257623;1.48792303;0;370.369;8698.655;17052.4864;4.17;85.921;13515.649;279.621;24751.67803;1.767313535;0.048;0.002;4.362;0.144;0.905;3.923;140.508;4.623;16.69;0.549;3.909;0.129;9.233;0.304;2662.128098;0;0.037;0.378;3.077753354;0;0.021;0.336;3.313702;0.022;0.033;1.657;0.045;0.012;0.055;3.968;0.078;0.291;0.001;0.004;0.005;0;119.25;27.499
41;Croatia;3848160;55960;69;86.7;79.336;47.5;86.1;15;85;17.7;87;84.3;30.3;87;65.2;33.8;10.4;12;2462;HRV;2022;3907031;1.02285E+11;1.099;0.281;17.608;0.198;1.135;14.43;0.186;1.302;3.693;0.141;0.155;4.507;0.172;0.189;1.628;0.417;80.821;1147.903;1812.051;147.878;19.223;212.519;965.646;681.434;23116.369;0.911;0.356;0.091;4.739;1.213;5.367;5.477;-3.178;-0.813;3.658;0.936;2.325;0.595;9.611;2.46;93.167;0.069;0.047;0.035;0.011;0.173;0.065;0.07;0.018;0.099;0.081;0.118;0.111;0.088;0.06;-0.09;0.081;0.063;0;0.001;0.001;0;21.4;20.969
42;Cuba;10937203;106440;103;0;79.488;0;0;0;0;0;0;0;0;0;0;0;0;0;2516;CUB;2022;11059821;84154974208;0.368;0.033;21.882;-0.67;-2.972;25.266;1.3;5.426;2.285;0.3;1.084519033;1.979;0.26;0.230389568;0.015;0.001;59.491;1764.34;5864.322;117.291;0.85;43.987;4124.937;1542.721;24751.67803;1.767313535;0.086;0.008;1.595;0.144;2.692;3.568;3.384;0.306;14.135;1.278;3.56;0.322;19.819;1.792;2662.128098;0.023;0.059;0.062;0;0.127;0.099;0.227;0.014;0.004;0.017;0.506;0.25;0.021;0.02;0.096;0.166;0.178;0.001;0.002;0.003;0;39.461;29.774
43;Cyprus;1370754;9240;148;91.1;81.818;58.8;81;15;100;7.58;88;87;24.5;88;69.1;27.4;15.7;12;2570;CYP;2022;1331376;34255009792;0.88;0.661;7.198;0.027;0.378;6.742;0.107;1.615;5.064;0.197;0.213;5.406;0.21;0.227;0.123;0.092;34.965;307.705;259.47;4.164;0;0.029;66.782;267.202;25309.33;0.925;0;0;0;0;7.046;7.153;-0.456;-0.342;2.262;1.699;0.377;0.283;6.174;4.637;31.674;0.055;0.019;0.017;0.001;0.075;0.017;0.01;0.001;0;0;0.008;0.043;0;0;-0.013;0.052;0.012;0;0;0;0;9.524;9.381
44;Czechia;10609239;77240;137;88.7;78;58;93.9;14;98;97.13;91;91.9;15.7;91;77.1;35;13.3;13;2624;CZE;2022;10673216;3.42967E+11;1.847;0.173;95.108;-1.537;-1.591;88.326;-1.468;-1.635;8.276;0.258;0.194;8.911;0.277;0.209;52.973;4.963;151.887;12172.298;11828.765;9782.459;8.914;706.9;-233.698;1467.783;43427.824;1.329;0.044;0.004;15.78;1.478;10.073;9.582;-6.781;-0.635;12.892;1.208;5.67;0.531;22.868;2.143;455.731;0.115;0.255;0.216;0.349;0.325;0.686;0.457;1.193;0.046;0.27;-0.029;0.238;0.011;0.2;-0.192;0.192;0.365;0.001;0.005;0.006;0;102.267;107.512
45;Democratic Republic of the Congo;112832473;2267050;50;21.1;59;61.6;41;32;12;2.6;52.4;42;44.4;52.4;17.2;0.8;0.1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Denmark;6002507;42430;141;92.7;81.692;59.2;91.2;10;100;29.57;95.3;98.3;11.7;95.3;98.8;50.9;57.6;13;2732;DNK;2022;5902898;2.99429E+11;1.073;0.182;28.432;-1.156;-3.907;29.559;-1.156;-3.763;5.007;0.099;0.15;4.817;0.095;0.144;4.164;0.705;81.074;4141.201;5526.798;1850.328;18.842;281.473;1387.081;1893.863;33537.797;0.659;0.095;0.016;3.542;0.6;5.711;7.843;1.127;0.191;10.876;1.842;5.268;0.892;19.148;3.244;197.278;0.067;0.076;0.072;0.027;0.173;0.233;0.214;0.226;0.097;0.107;0.17;0.307;0.024;0.045;0.032;0.161;0.181;0;0.002;0.003;0;46.298;33.71
47;Djibouti;1184076;23180;51;0;68.346;0;0;0;0;0;0;0;0;0;0;0;0;0;2786;DJI;2022;1137100;3395681536;0.139;0.123;0.494;-0.037;-7.014;0.578;-0.037;-6.06;0.509;0.17;1.084519033;0.435;0.146;0.230389568;305.6257623;1.48792303;0.847;19.935;25.47;17052.4864;0;4545.108843;7.165;19.088;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.13;1.821;0.084;0.074;1.261;1.109;0.27;0.238;0.355;0.312;2662.128098;0.009;0.001;0.001;3.077753354;0.002;0.001;0.001;3.313702;0;3.731023326;0.001;0.003;0;3.860033117;0.002;0.003;0.004;0;0;0;0;2.07;1.285
48;Dominica;65871;750;88;73.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2840;DMA;2022;66850;675097984;0;0;0.156;-0.005;-3.046;0.058;0;-0.191;0.869;0.086;1.084519033;2.338;0.232;0.230389568;305.6257623;1.48792303;0;5.15;3.48;17052.4864;0;4545.108843;2.768;5.15;24751.67803;1.767313535;0;0;177.0031629;1.832210367;2.97;3.103;-0.098;-1.469;0.067;1.009;0.013;0.2;0.156;2.338;2662.128098;0;0;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;-0.003;0.001;0;0;0;0;0;0.207;0.199
49;Dominican Republic;11520487;48320;238;73.3;74.978;57;64.8;8;45;28.91;74.1;79.8;29.1;74.1;54.8;18.9;0;9;2894;DOM;2022;11230734;1.91182E+11;2.52;0.224;30.431;-0.405;-1.312;30.399;-0.467;-1.514;2.707;0.159;1.084519033;2.71;0.159;0.230389568;7.253;0.646;56.461;810.577;2457.478;71.431;0;34.198;1678.08;648.487;24751.67803;1.767313535;0;0;3.478;0.31;3.32;4.097;-0.031;-0.003;13.222;1.177;3.475;0.309;17.179;1.53;2662.128098;0.157;0.082;0.074;0.048;0.121;0.046;0.095;0.009;0;0.013;0.206;0.105;0;0.044;-0.001;0.144;0.086;0.001;0.001;0.001;0;46.017;37.281
50;Ecuador;18289896;248360;74;70.7;78.098;60.7;48;17;67;41.33;79.1;67.2;33.3;79.1;42.7;11.8;2.5;9;2974;ECU;2022;17823900;1.75029E+11;2.129;0.119;40.522;2.318;6.067;53.997;6.198;12.967;3.029;0.309;0.242;2.273;0.232;0.182;305.6257623;1.48792303;70.191;1297.46;5699.378;17052.4864;82.207;34.983;4779.191;1109.517;12373.124;1.273;2.426;0.136;0.933;0.052;3.153;5.019;13.475;0.756;23.898;1.341;5.036;0.283;35.033;1.966;222.729;0.133;0.109;0.132;3.077753354;0.15;0.073;0.22;3.313702;0.424;0.013;0.586;0.18;0.602;0.012;0.381;0.294;0.239;0.001;0.003;0.004;0;89.453;56.194
51;Egypt;118365995;995450;119;70.4;72.848;37.4;71.5;63;97;249.63;80.1;60.1;29;80.1;23.2;15;2;10;3028;EGY;2022;112618251;1.46043E+12;18.579;0.165;271.169;10.233;3.922;274.142;10.339;3.919;2.434;0.188;0.248;2.408;0.186;0.245;7.549;0.067;567.411;7021.284;7344.853;180.962;133.637;2252.675;367.09;3886.599;9968.82;0.758;3.702;0.033;119.903;1.065;3.078;3.297;2.973;0.026;75.535;0.671;22.115;0.196;121.436;1.078;1106.44;1.16;0.727;0.671;0.05;1.212;0.396;0.284;0.022;0.689;0.859;0.045;0.631;0.919;1.519;0.084;1.02;0.429;0.003;0.003;0.007;0;371.285;346.646
52;El Salvador;6365503;20720;307;65.2;74.464;53.3;63.6;22;98;7.22;74.9;69.1;36.2;74.9;40.4;9.8;5.8;7;3082;SLV;2022;6280316;59270934528;0.415;0.066;7.8;0.219;2.886;7.396;0.229;3.193;1.178;0.125;1.084519033;1.242;0.132;0.230389568;0.003;0;18.912;248.318;825.532;0.209;0;0.012;643.535;229.185;24751.67803;1.767313535;0;0;0.008;0.001;1.655;1.666;-0.405;-0.064;3.649;0.581;1.084;0.173;7.375;1.174;2662.128098;0.026;0.021;0.018;0;0.04;0.014;0.032;0;0;0;0.079;0.037;0;0;-0.011;0.062;0.04;0;0;0.001;0;10.462;10.395
53;Equatorial Guinea;1938431;28050;69;0;60.404;0;0;0;0;0;0;0;0;0;0;0;0;0;3136;GNQ;2022;1803550;20191379456;0;0;6.826;-0.293;-4.12;8.392;-1.293;-13.352;4.653;0.416;1.084519033;3.785;0.338;0.230389568;305.6257623;1.48792303;0;149.152;197.007;17052.4864;45.719;75.29;86.287;28.143;24751.67803;1.767313535;0.413;0.229;5.285;2.931;7.228;8.546;1.566;0.868;6.187;3.43;0.051;0.028;1.127;0.625;2662.128098;0;0.018;0.021;3.077753354;0;0.008;0.008;3.313702;0.236;0.029;0.011;0.005;0.103;0.067;0.044;0.009;0.035;0;0;0.001;0;15.414;13.037
54;Eritrea;3607003;101000;36;0;68.068;0;0;0;0;0;0;0;0;0;0;0;0;0;3166;ERI;2022;3409452;5.28502E+11;0.07;0.02;0.623;-0.058;-8.537;7.269;0.033;0.46;2.132;0.937101354;1.084519033;0.183;0.389399806;0.230389568;305.6257623;1.48792303;1.276;17.546;103.115;17052.4864;0;4545.108843;213.124;16.269;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.746;2.754;6.646;1.949;5.085;1.491;1.633;0.479;0.554;0.162;2662.128098;0.004;0.002;0.018;3.077753354;0.003;0.001;0.004;3.313702;0;3.731023326;0.026;0.003;0;3.860033117;0.188;0.005;0.019;0;0;0;0;9.39;2.545
55;Estonia;1344232;42390;32;90;79.48;59.4;82.6;6;100;10.44;0;92.5;22.8;92.8;88.8;31.7;11.2;14;3220;EST;2022;1350092;39999856640;0;0;11.757;1.366;13.15;10.656;1.438;15.602;7.893;0.266;0.168;8.708;0.294;0.185;7.877;5.834;22.163;1650.854;1779.911;1179.178;2.842;73.739;216.784;370.577;47804.645;1.585;0;0;0.679;0.503;9.54;11.628;-1.101;-0.816;1.604;1.188;1.782;1.32;3.133;2.321;63.392;0;0.032;0.026;0.052;0.047;0.093;0.069;0.144;0.015;0.028;0.027;0.06;0;0.009;-0.031;0.026;0.066;0;0.001;0.001;0;15.699;12.879
56;Eswatini;1256174;17200;73;35.3;61.67;36.8;0;15;71;1.1;61.2;61.1;39.1;61.2;28;10.8;0;6;3274;SWZ;2022;1218921;9594910720;0;0;1.08;0.068;6.768;1.197;0.019;1.652;0.982;0.125;1.084519033;0.886;0.113;0.230389568;0.225;0.184;0;43.054;186.067;20.988;0;4545.108843;292.454;22.066;24751.67803;1.767313535;0;0;177.0031629;1.832210367;6.601597796;1.354;0.117;0.096;1.274;1.045;0.502;0.412;0.855;0.701;2662.128098;0;0.003;0.003;0.001;0;0.002;0.007;0.003;0;3.731023326;0.036;0.004;0;3.860033117;0.003;0.007;0.008;0;0;0;0;1.65;707.4944594
57;Ethiopia;135472051;1000000;135;36;68.434;75.6;48.7;22;13;17.81;60.7;56.1;32.3;60.7;31.5;1.9;0.4;3;3328;ETH;2022;125384285;2.69977E+11;3.681;0.029;15.157;-1.004;-6.212;247.17;-3.576;-1.426;1.971;0.916;1.084519033;0.121;0.056;0.230389568;1.042;0.008;44.648;290.942;6600.429;12.683;0.011;4545.108843;9894.336;233.601;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.486;1.94;232.013;1.85;125.101;0.998;51.955;0.414;10.434;0.083;2662.128098;0.23;0.041;0.605;0.007;0.095;0.016;0.255;0.002;0;3.731023326;1.213;0.038;0;3.860033117;6.552;0.088;0.515;0.004;0.003;0.008;0.001;243.286;60.941
58;Fiji;933154;18270;51;0;68.198;0;0;0;0;0;0;0;0;0;0;0;0;0;3652;FJI;2022;919428;5.28502E+11;0;0;1.122;0.026;2.394;1.362;0.869;176.23;1.481;0.937101354;1.084519033;1.22;0.389399806;0.230389568;305.6257623;1.48792303;1.267;49.792;95.27;17052.4864;0;4545.108843;81.086;46.635;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.805;2.563;0.24;0.261;0.799;0.869;0.183;0.199;1.122;1.22;2662.128098;0;0.003;0.003;3.077753354;0.003;0.003;0.004;3.313702;0;3.731023326;0.01;0.008;0;3.860033117;0.007;0.009;0.007;0;0;0;0;2.357;1.66
59;Finland;5623329;303890;19;93.1;82.776;55.6;90.2;6;100;37.59;95.1;97.5;13.6;95.1;97.5;40.4;26;13;3706;FIN;2022;5569299;2.26155E+11;0.597;0.107;36.367;-1.431;-3.786;61.785;-0.419;-0.674;11.094;0.273;0.193;6.53;0.161;0.113;12.145;2.181;49.214;3263.149;6559.496;1270.723;2.744;243.857;3478.323;1667.884;57885.66;1.418;0.065;0.012;2.403;0.431;8.659;14.851;25.418;4.564;11.25;2.02;7.221;1.296;20.567;3.693;320.73;0.037;0.098;0.151;0.08;0.105;0.184;0.254;0.155;0.014;0.093;0.426;0.271;0.016;0.03;0.718;0.173;0.235;0.001;0.003;0.004;0;82.708;48.227
60;France;66650804;547557;122;90.1;83.386;51.1;79.9;11;100;305.98;92.8;93.1;15.8;92.8;81.6;41.2;44.2;12;3760;FRA;2022;66277412;2.67157E+12;6.397;0.097;293.502;-12.106;-3.961;268.743;-13.055;-4.633;4.055;0.101;0.117;4.428;0.11;0.128;25.994;0.392;713.358;39412.688;34647.176;19135.004;173.406;3742.498;-4444.706;15503.093;35566.758;0.86;1.592;0.024;76.353;1.152;4.97;5.386;-24.759;-0.374;70.111;1.058;34.549;0.521;179.441;2.707;2298.56;0.4;0.787;0.658;0.171;1.524;2.221;1.34;2.333;0.895;1.427;-0.545;2.516;0.395;0.967;-0.699;1.507;1.309;0.003;0.016;0.022;0.002;356.965;329.368
61;Gabon;2593130;257670;10;65.7;67.37;37.5;53.7;26;85;5.72;46.8;40.1;47.2;46.8;29.9;24.2;1.5;9;3814;GAB;2022;2430752;36035293184;0.198;0.081;5.835;0.303;5.481;12.96;-0.557;-4.119;5.331;0.36;1.084519033;2.4;0.162;0.230389568;305.6257623;1.48792303;4.222;300.47;1100.401;17052.4864;167.569;21.205;1184.096;107.466;24751.67803;1.767313535;2.637;1.085;0.791;0.325;7.263;10.22;7.125;2.931;11.671;4.801;0.581;0.239;2.209;0.909;2662.128098;0.012;0.016;0.032;3.077753354;0.009;0.017;0.043;3.313702;0.864;0.008;0.145;0.017;0.654;0.01;0.201;0.019;0.074;0.001;0.001;0.001;0;24.843;17.653
62;Gambia;2822093;10120;279;45.7;63.832;51;64.1;39;48;0.66;67.9;66.1;43.8;67.9;47.4;2.3;0.2;5;3868;GMB;2022;2636473;4656793600;0;0;0.737;0.012;1.656;0.744;-0.039;-4.924;0.282;0.16;1.084519033;0.28;0.158;0.230389568;305.6257623;1.48792303;0;16.009;74.155;17052.4864;0;4545.108843;156.017;16.009;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.566;1.384;0.007;0.003;1.685;0.639;0.371;0.141;0.737;0.28;2662.128098;0;0.002;0.002;3.077753354;0;0.001;0.003;3.313702;0;3.731023326;0.019;0.003;0;3.860033117;0;0.006;0.007;0;0;0;0;3.648;1.492
63;Georgia;3806671;69490;55;80.8;74.528;52.6;74.7;19;69;10.99;89.3;76.2;50;89.3;52.2;21.4;4;13;3922;GEO;2022;3794783;70528606208;1.024;0.27;11.527;0.433;3.9;3.573;0.59;19.795;0.942;0.051;1.084519033;3.038;0.163;0.230389568;0.839;0.221;20.834;683.066;264.224;83.772;2.764;257.721;-364.862;317.975;24751.67803;1.767313535;0.002;0;5.931;1.563;3.811;3.028;-7.954;-2.096;3.164;0.834;1.693;0.446;3.731;0.983;2662.128098;0.064;0.031;0.009;0.006;0.045;0.038;0.01;0.01;0.014;0.098;-0.045;0.052;0;0.075;-0.225;0.031;0.033;0;0;0.001;0;11.491;14.461
64;Germany;84075075;348560;241;95.1;82.196;59.2;73.3;11;100;674.76;92.5;96.2;10.4;92.5;89;42.3;38.1;14;3976;DEU;2022;84086228;3.90961E+12;12.538;0.149;671.472;-7.306;-1.076;662.833;-7.397;-1.104;7.883;0.17;0.194;7.986;0.172;0.197;240.64;2.862;1219.551;93986.133;93601.469;64893.535;95.5;7358.789;-145.153;20114.604;40938.07;0.873;1.835;0.022;160.776;1.912;8.487;8.895;-8.638;-0.103;63.261;0.752;33.978;0.404;247.44;2.943;3413;0.783;1.8;1.623;1.585;2.606;5.296;3.62;7.913;0.493;2.807;-0.018;3.265;0.455;2.037;-0.244;2.078;2.911;0.004;0.042;0.048;0.002;747.968;713.675
65;Ghana;35064272;227540;154;56.7;65.408;65.2;40.8;46;45;21.32;68.2;71;35.9;68.2;59.6;6.1;0.5;8;4030;GHA;2022;33149151;1.45432E+11;0.037;0.001;20.287;-0.259;-1.261;33.41;-0.463;-1.366;1.008;0.23;1.084519033;0.612;0.139;0.230389568;305.6257623;1.48792303;0.306;384.925;2584.179;17052.4864;5.205;37.864;3062.405;337.386;24751.67803;1.767313535;0.932;0.028;6.293;0.19;1.185;1.602;13.123;0.396;23.631;0.713;6.036;0.182;13.025;0.393;2662.128098;0.002;0.054;0.082;3.077753354;0.001;0.022;0.1;3.313702;0.027;0.014;0.375;0.055;0.231;0.08;0.371;0.109;0.109;0.001;0.001;0.002;0;53.099;39.283
66;Greece;9938844;128900;77;87.1;83.104;43;77.2;15;99;56.32;90.6;86.6;22.4;90.6;61.5;28.9;15.6;11;4084;GRC;2022;10412481;2.63893E+11;2.905;0.279;58.08;0.56;0.974;44.261;0.619;1.418;4.251;0.168;0.141;5.578;0.22;0.185;8.909;0.856;285.689;4191.881;5302.885;1644.99;0.418;179.316;1510.748;2055.645;30268.49;1.191;0.002;0;10.367;0.996;6.239;6.375;-13.818;-1.327;9.576;0.92;4.33;0.416;35.383;3.398;314.337;0.181;0.156;0.108;0.059;0.61;0.236;0.205;0.201;0.002;0.068;0.185;0.334;0.001;0.131;-0.39;0.297;0.178;0.001;0.002;0.003;0;66.377;64.963
67;Grenada;117303;340;345;0;72.83;0;0;0;0;0;0;0;0;0;0;0;0;0;4138;GRD;2022;116928;5.28502E+11;0;0;0.321;0.01;3.057;0.228;0.014;6.669;1.954;0.937101354;1.084519033;2.745;0.389399806;0.230389568;305.6257623;1.48792303;0;8.898;5.585;17052.4864;0;4545.108843;-1.524;8.898;24751.67803;1.767313535;0;0;177.0031629;1.832210367;3.201;3.11;-0.092;-0.791;0.06;0.511;0.01;0.089;0.321;2.745;2662.128098;0;0.001;0.001;3.077753354;0;0.001;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;-0.003;0.003;0;0;0;0;0;0.364;0.374
